Study,N,Dose,DietaryIntake,TotalIntake,AchievedLevel,SD,IOMIntake,IOMLevel,Age Group,InTable5p4,Color,Symbol,PlotSymbol
,,,,,,,,,,,,,
AlaHouhala1988,27,0,200,200,43.3,19.5,200,43.3,Young,y,yellow,Circle,21
AlaHouhala1988,24,400,200,600,71.3,23.8,600,71.3,Young,y,yellow,Circle,21
,,,,,,,,,,,,,
Cashman2008,57,0,136,136,37.4,,135,37.4,Adult,y,blue,Diamond,23
Cashman2008,48,200,172,372,49.7,,372,49.7,Adult,y,blue,Diamond,23
Cashman2008,57,400,140,540,60,,540,60,Adult,y,blue,Diamond,23
Cashman2008,53,600,144,744,69,,744,69,Adult,y,blue,Diamond,23
,,,,,,,,,,,,,
Cashman2009,55,0,188,188,41.6,,188,,Old,y,purple,Square,22
Cashman2009,48,200,164,364,53.2,,364,,Old,y,purple,Square,22
Cashman2009,53,400,168,568,69.5,,568,69.5,Old,y,purple,Square,22
Cashman2009,48,600,192,792,73.8,,792,73.8,Old,y,purple,Square,22
,,,,,,,,,,,,,
Larsen2004,37,0,136,136,34,19,136,34,Old,y,red,Square,22
Larsen2004,67,400,136,536,46,17,536,46,Old,y,red,Square,22
,,,,,,,,,,,,,
Schou2003,10,0,96,96,33.7,3.3,96,33.7,Young,y,orange,Circle,21
Schou2003,10,600,96,696,50.2,4.5,696,50.2,Young,y,orange,Circle,21
Schou2003,10,600,96,696,43.4,2.9,696,43.4,Young,y,orange,Circle,21
Schou2003,10,0,96,96,32.3,4.1,96,32.3,Young,y,orange,Circle,21
,,,,,,,,,,,,,
Smith2009,7,0,302,302,38,17,,,Adult,n,green,Diamond,23
Smith2009,18,400,241,641,55,19,659,57,Adult,y,green,Diamond,23
Smith2009,19,1000,352,1352,63,20,1342,63,Adult,y,green,Diamond,23
Smith2009,18,2000,283,2283,71,20,2305,71,Adult,y,green,Diamond,23
,,,,,,,,,,,,,
VanDerKlis1996,20,0,64,64,58.5,23.8,64,61.2,Old,y,brown,Square,22
VanDerKlis1996,19,400,64,464,87.9,28.1,464,87.9,Old,y,brown,Square,22
VanDerKlis1996,19,800,64,864,87.9,28.1,864,87.9,Old,y,brown,Square,22
,,,,,,,,,,,,,
Viljakainen2006a,64,0,200,200,42.8,21.7,200,42.8,Young,y,magenta,Circle,21
Viljakainen2006a,58,200,188,388,51.7,23.2,388,51.7,Young,y,magenta,Circle,21
Viljakainen2006a,71,400,196,596,58.8,21.1,596,58.8,Young,y,magenta,Circle,21
,,,,,,,,,,,,,
Viljakainen2006b,12,0,436,436,43.9,23.9,436,43.9,Old,y,khaki,Square,22
Viljakainen2006b,13,200,388,588,56.9,16.6,588,56.9,Old,y,khaki,Square,22
Viljakainen2006b,11,400,424,824,60.9,12.3,824,60.9,Old,y,khaki,Square,22
Viljakainen2006b,13,800,388,1188,67.8,18,1188,67.8,Old,y,khaki,Square,22
,,,,,,,,,,,,,
Viljakainen2009,16,0,264,264,52.2,20.6,264,52.2,Adult,y,cyan,Diamond,23
Viljakainen2009,16,400,304,704,75.6,18.5,716,75.4,Adult,y,cyan,Diamond,23
Viljakainen2009,16,800,344,1144,90.1,22.2,1104,90.1,Adult,y,cyan,Diamond,23
