SerumLevelInNgPerMl,OV/BV
7.49,0
12,0
7.49,0
2.09,0
9.12,0
4.59,0
3.34,0
1.48,0
5.03,0
21,0.0530736584426137
5.42,0.0530736584426137
5.63,0.0530736584426137
12,0.0530736584426137
12,0.0530736584426137
14,0.0530736584426137
3.92,0.0530736584426137
2.61,0.0530736584426137
3.04,0.0530736584426137
9.7,0.0530736584426137
5.7,0.0530736584426137
11,0.0530736584426137
7.49,0.0530736584426137
5.7,0.0530736584426137
4.59,0.0530736584426137
9.99,0.0530736584426137
4.54,0.0961872072438155
34,0.0961872072438155
18,0.0961872072438155
21,0.0961872072438155
9.03,0.0961872072438155
9.03,0.0961872072438155
4.37,0.0961872072438155
7.49,0.0961872072438155
22,0.0961872072438155
9.03,0.0961872072438155
7.49,0.0961872072438155
7.49,0.133106482911124
7.63,0.133106482911124
6.08,0.133106482911124
12,0.133106482911124
7.49,0.133106482911124
7.49,0.133106482911124
2.83,0.133106482911124
19,0.133106482911124
7.19,0.133106482911124
8.01,0.133106482911124
9.03,0.133106482911124
2.09,0.133106482911124
9.99,0.133106482911124
4.54,0.133106482911124
1.48,0.133106482911124
30.9,0.133106482911124
47,0.133106482911124
24,0.133106482911124
5.79,0.133106482911124
5.42,0.133106482911124
9.7,0.133106482911124
15,0.133106482911124
1.94,0.133106482911124
17,0.176466394848326
2.09,0.176466394848326
8.01,0.176466394848326
46,0.176466394848326
2.09,0.176466394848326
9.99,0.176466394848326
3.72,0.176466394848326
10.7,0.176466394848326
4.82,0.176466394848326
2.9,0.176466394848326
7.04,0.176466394848326
7.49,0.176466394848326
7.41,0.176466394848326
17,0.176466394848326
10.8,0.176466394848326
4.82,0.176466394848326
5.7,0.176466394848326
11,0.176466394848326
4.23,0.176466394848326
4.74,0.220846954063276
14,0.220846954063276
7.49,0.220846954063276
7.49,0.220846954063276
1.48,0.220846954063276
5.63,0.220846954063276
12,0.220846954063276
2.75,0.220846954063276
4.01,0.220846954063276
3.34,0.220846954063276
9.99,0.220846954063276
4.29,0.220846954063276
1.48,0.220846954063276
3.34,0.220846954063276
2.23,0.220846954063276
38,0.220846954063276
1.48,0.220846954063276
9.12,0.220846954063276
2.9,0.220846954063276
9.99,0.220846954063276
8.23,0.220846954063276
6.61,0.253648445885901
6.52,0.253648445885901
22.3,0.253648445885901
3.34,0.253648445885901
11,0.253648445885901
8.23,0.253648445885901
3.72,0.253648445885901
7.92,0.253648445885901
13.6,0.253648445885901
7.49,0.300950167999211
8.45,0.300950167999211
27,0.300950167999211
2.52,0.300950167999211
7.63,0.300950167999211
24,0.300950167999211
9.03,0.300950167999211
15,0.300950167999211
2.9,0.300950167999211
1.48,0.300950167999211
9.17,0.300950167999211
25,0.300950167999211
13,0.353988631708113
3.92,0.353988631708113
2.01,0.353988631708113
6.3,0.353988631708113
1.48,0.353988631708113
4.89,0.353988631708113
8.01,0.353988631708113
3.2,0.353988631708113
8.01,0.353988631708113
18,0.353988631708113
5.03,0.353988631708113
7.49,0.353988631708113
2.83,0.353988631708113
18,0.386754928797018
8.23,0.386754928797018
19,0.386754928797018
13,0.386754928797018
1.48,0.386754928797018
12,0.386754928797018
1.48,0.386754928797018
17,0.386754928797018
1.48,0.386754928797018
23,0.386754928797018
8.74,0.434091845644048
12,0.434091845644048
7.49,0.434091845644048
7.49,0.434091845644048
28,0.434091845644048
4.89,0.434091845644048
15,0.467174895336392
1.48,0.467174895336392
1.48,0.467174895336392
8.15,0.467174895336392
7.04,0.467174895336392
7.49,0.467174895336392
1.48,0.467174895336392
7.49,0.467174895336392
9.92,0.467174895336392
16,0.467174895336392
5.12,0.467174895336392
8.29,0.467174895336392
13,0.467174895336392
13,0.467174895336392
1.48,0.511203507214191
6.3,0.511203507214191
41.7,0.511203507214191
7.49,0.511203507214191
1.48,0.511203507214191
9.03,0.511203507214191
2.23,0.511203507214191
2.75,0.511203507214191
6.22,0.511203507214191
7.92,0.511203507214191
2.9,0.511203507214191
7.49,0.554352250749105
19,0.554352250749105
5.79,0.554352250749105
4.08,0.554352250749105
17,0.554352250749105
1.48,0.554352250749105
7.49,0.554352250749105
1.48,0.554352250749105
4.34,0.554352250749105
9.68,0.554352250749105
18,0.554352250749105
6.26,0.554352250749105
13,0.554352250749105
13,0.554352250749105
7.39,0.554352250749105
4.21,0.591588279019852
5.09,0.591588279019852
4.21,0.591588279019852
7.45,0.591588279019852
44.2,0.591588279019852
2.72,0.591588279019852
6.85,0.591588279019852
2.58,0.591588279019852
5.31,0.591588279019852
8.5,0.634772217288472
6.85,0.634772217288472
14,0.634772217288472
7.45,0.634772217288472
7.45,0.634772217288472
15,0.634772217288472
7.39,0.634772217288472
7.45,0.634772217288472
3.75,0.634772217288472
3.9,0.634772217288472
11,0.677850571355961
42.7,0.677850571355961
16,0.677850571355961
1.45,0.677850571355961
33.2,0.677850571355961
7.45,0.677850571355961
7.45,0.677850571355961
2.87,0.677850571355961
1.45,0.677850571355961
44.5,0.677850571355961
7.45,0.714910625958126
9.4,0.714910625958126
6.19,0.714910625958126
8.78,0.714910625958126
7.3,0.714910625958126
9.97,0.714910625958126
4.21,0.714910625958126
15,0.714910625958126
33,0.714910625958126
4.34,0.714910625958126
5.62,0.714910625958126
19,0.714910625958126
7.45,0.714910625958126
7.98,0.767878700199603
16,0.767878700199603
12.8,0.767878700199603
6.48,0.767878700199603
30.7,0.767878700199603
7.45,0.767878700199603
8.85,0.767878700199603
12,0.767878700199603
2.28,0.767878700199603
11,0.767878700199603
